,velocity,probability,num_cars,num_rounds,round_duration
0,13,0.85,1.0,1648.4099999999999,0.000532428364483554
1,15,0.8533333333333333,1.0,1428.7066666666667,0.0004907653740458393
2,17,0.8066666666666668,1.0,1260.6899999999998,0.00046097184895353943
3,19,0.75,1.0,1128.03,0.00043861723428735284
4,21,0.6533333333333333,1.0,1020.71,0.00042121013251518056
5,23,0.6366666666666667,1.0,931.5633333333334,0.000407367102131572
6,25,0.6166666666666667,1.0,857.1733333333333,0.00039593173586565105
7,27,0.5733333333333333,1.0,794.0666666666666,0.0003863630118459459
8,29,0.5566666666666668,1.0,739.0233333333334,0.00037837288183821375
9,31,0.5466666666666666,1.0,691.48,0.00037144692886500704
10,33,0.5633333333333334,1.0,649.64,0.00036545667394413987
11,35,0.56,1.0,612.4533333333334,0.0003602459381788295
12,37,0.5166666666666666,1.0,579.45,0.00035560692413344453
13,39,0.46333333333333343,1.0,549.6233333333333,0.0003515229899593109
14,41,0.45,1.0,522.84,0.0003478514413974148
15,43,0.45333333333333337,1.0,498.77,0.0003445016558892885
16,45,0.46999999999999986,1.0,476.38999999999993,0.00034153860658755314
17,47,0.39666666666666667,1.0,456.0733333333333,0.0003388260017132178
18,49,0.39333333333333337,1.0,437.67,0.00033631823838769896
